Year,Suicide
1960,13.4
1961,13.1
1962,13.7
1963,13.9
1964,13.5
1965,13.9
1966,13.6
1967,13.3
1968,13.2
1969,13.5
1970,13.9
1971,13.9
1972,14.1
1973,13.9
1974,13.9
1975,14.2
1976,13.9
1977,14.3
1978,13.5
1979,13.1
1980,12.7
1981,12.8
1982,13
1983,13
1984,13.2
1985,13.1
1986,13.6
1987,13.4
1988,13
1989,12.8
1990,13.1
1991,12.9
1992,12.5
1993,12.6
1994,12.5
1995,12.4
1996,12.1
1997,11.9
1998,11.7
1999,11.1
2000,10.8
2001,11.1
2002,11.3
2003,11.1
2004,11.3
2005,11.2
2006,11.3
2007,11.7
2008,12
2009,12.2
2010,12.5
2011,12.8
2012,13
2013,13.1
2014,13.5
2015,13.8
